Observer ,Year,Month,Sunday,Site,Family,Genus,Species,Fork length
Jessica Tran,2021,April,4,Papeete market,Scaridae,Calotomus ,carolinus,27.19512
Jessica Tran,2021,April,4,Papeete market,Holocentridae,Myripristis,berndti,27.19832
Jessica Tran,2021,April,3,Papeete market,Kyphosidae,Kyphosus,vaigiensis,27.20104
Jessica Tran,2021,April,4,Papeete market,Kyphosidae,Kyphosus,vaigiensis,27.2115
Jessica Tran,2021,April,1,Papeete market,Scaridae,Calotomus ,carolinus,27.22355
Jessica Tran,2021,April,4,Papeete market,Scaridae,Scarus,psittacus,27.23073
Jessica Tran,2021,April,2,Papeete market,Scaridae,Leptoscarus,vaigiensis,27.23488
Jessica Tran,2021,April,2,Papeete market,Mugilidae,Ellochelon,vaigiensis,27.27107
Jessica Tran,2021,April,4,Papeete market,Scaridae,Calotomus ,carolinus,27.2717
Jessica Tran,2021,April,4,Papeete market,Serranidae,Variola,louti,27.27243
Jessica Tran,2021,April,4,Papeete market,Scaridae,Scarus,oviceps,27.27729
Jessica Tran,2021,April,1,Papeete market,Labridae,Coris,gaimard,27.28513
Jessica Tran,2021,April,2,Papeete market,Acanthuridae,Naso,unicornis,27.30309
Jessica Tran,2021,April,3,Papeete market,Scaridae,Chlorurus,spilurus,27.31042
Jessica Tran,2021,April,1,Papeete market,Scaridae,Scarus,psittacus,27.31275
Jessica Tran,2021,April,1,Papeete market,Acanthuridae,Naso,lituratus,27.31946
Jessica Tran,2021,April,4,Papeete market,Scaridae,Scarus,oviceps,27.33156
Jessica Tran,2021,April,2,Papeete market,Scaridae,Calotomus ,carolinus,27.33174
Jessica Tran,2021,April,1,Papeete market,Serranidae,Cephalopholis,argus,27.33801
Jessica Tran,2021,April,4,Papeete market,Mullidae ,Parupeneus ,multifasciatus,27.3427
Jessica Tran,2021,April,1,Papeete market,Scaridae,Chlorurus,spilurus,27.35881
Jessica Tran,2021,April,2,Papeete market,Mullidae ,Parupeneus ,cyclostomus,27.36069
Jessica Tran,2021,April,4,Papeete market,Holocentridae,Myripristis,berndti,27.38029
Jessica Tran,2021,April,4,Papeete market,Serranidae,Cephalopholis,argus,27.38203
Jessica Tran,2021,April,1,Papeete market,Scaridae,Calotomus ,carolinus,27.38316
Jessica Tran,2021,April,4,Papeete market,Mullidae ,Parupeneus ,multifasciatus,27.39515
Jessica Tran,2021,April,2,Papeete market,Serranidae,Variola,louti,27.40395
Jessica Tran,2021,April,3,Papeete market,Mullidae ,Parupeneus ,barberinus,27.40423
Jessica Tran,2021,April,4,Papeete market,Scaridae,Calotomus ,carolinus,27.40848
Jessica Tran,2021,April,4,Papeete market,Scaridae,Calotomus ,carolinus,27.41725
Jessica Tran,2021,April,4,Papeete market,Serranidae,Cephalopholis,argus,27.41799
Jessica Tran,2021,April,3,Papeete market,Scaridae,Calotomus ,carolinus,27.4189
Jessica Tran,2021,April,3,Papeete market,Scaridae,Scarus,psittacus,27.42891
Jessica Tran,2021,April,3,Papeete market,Acanthuridae,Naso,lituratus,27.43676
Jessica Tran,2021,April,2,Papeete market,Mullidae ,Mulloidichthys,vanicolensis,27.43913
Jessica Tran,2021,April,2,Papeete market,Scaridae,Scarus,autre,27.44158
Jessica Tran,2021,April,4,Papeete market,Scaridae,Chlorurus,spilurus,27.44634
Jessica Tran,2021,April,1,Papeete market,Serranidae,Cephalopholis,argus,27.45645
Jessica Tran,2021,April,4,Papeete market,Scaridae,Chlorurus,spilurus,27.45708
Jessica Tran,2021,April,3,Papeete market,Scaridae,Leptoscarus,vaigiensis,27.47816
Jessica Tran,2021,April,4,Papeete market,Scaridae,Chlorurus,spilurus,27.47964
Jessica Tran,2021,April,3,Papeete market,Serranidae,Cephalopholis,argus,27.48251
Jessica Tran,2021,April,1,Papeete market,Labridae,Cheilinus,trilobatus,27.50109
Jessica Tran,2021,April,1,Papeete market,Labridae,Cheilinus,trilobatus,27.50193
Jessica Tran,2021,April,4,Papeete market,Holocentridae,Myripristis,berndti,27.50214
Jessica Tran,2021,April,1,Papeete market,Acanthuridae,Naso,lituratus,27.50552
Jessica Tran,2021,April,2,Papeete market,Scaridae,Calotomus ,carolinus,27.5093
Jessica Tran,2021,April,1,Papeete market,Lethrinidae,Monotaxis,grandoculis,27.52833
Jessica Tran,2021,April,2,Papeete market,Scaridae,Scarus,oviceps,27.5302
Jessica Tran,2021,April,4,Papeete market,Scaridae,Calotomus ,carolinus,27.53295
Jessica Tran,2021,April,3,Papeete market,Scaridae,Scarus,oviceps,27.53857
Jessica Tran,2021,April,1,Papeete market,Scaridae,Chlorurus,spilurus,27.54322
Jessica Tran,2021,April,4,Papeete market,Scaridae,Scarus,psittacus,27.54677
Jessica Tran,2021,April,1,Papeete market,Scaridae,Chlorurus,spilurus,27.54837
Jessica Tran,2021,April,2,Papeete market,Scaridae,Scarus,oviceps,27.55057
Jessica Tran,2021,April,4,Papeete market,Holocentridae,Myripristis,berndti,27.55082
